epoch,step,train_acc,train_loss_epoch,train_loss_step,val_acc,val_loss
0,0,,,2.5350849628448486,,
0,1,,,2.4223530292510986,,
0,2,,,2.3899738788604736,,
0,3,,,2.39947509765625,,
0,4,,,2.3665668964385986,,
0,5,,,2.36602783203125,,
0,6,,,2.3450114727020264,,
0,7,,,2.3569793701171875,,
0,8,,,2.4412128925323486,,
0,9,,,2.1744384765625,,
0,10,,,2.2363483905792236,,
0,11,,,2.2036640644073486,,
0,12,,,2.2744648456573486,,
0,13,,,2.2611286640167236,,
0,14,,,2.258580446243286,,
0,15,,,2.3227741718292236,,
0,16,,,2.2318623065948486,,
0,17,,,2.2117717266082764,,
0,18,,,2.20220947265625,,
0,19,,,2.1406962871551514,,
0,20,,,2.1987407207489014,,
0,21,,,2.165745973587036,,
0,22,,,2.3154704570770264,,
0,23,,,2.1514892578125,,
0,24,,,2.1015167236328125,,
0,25,,,2.154902219772339,,
0,26,,,2.1580913066864014,,
0,27,,,2.12493896484375,,
0,28,,,2.0228168964385986,,
0,29,,,2.1712443828582764,,
0,30,,,2.159205198287964,,
0,31,,,2.199101686477661,,
0,32,,,2.2030792236328125,,
0,33,,,2.1424560546875,,
0,34,,,2.1150920391082764,,
0,35,,,2.110966920852661,,
0,36,,,2.030482053756714,,
0,37,,,2.1685993671417236,,
0,38,,,2.0587260723114014,,
0,39,,,2.0484619140625,,
0,40,,,2.1944477558135986,,
0,41,,,2.0933735370635986,,
0,42,,,2.0695393085479736,,
0,43,,,2.0666401386260986,,
0,44,,,2.0585174560546875,,
0,45,,,2.0911662578582764,,
0,46,,,2.0585529804229736,,
0,47,,,2.0108745098114014,,
0,48,,,2.1539409160614014,,
0,49,,,1.907849669456482,,
0,50,,,1.9285812377929688,,
0,51,,,2.156824827194214,,
0,52,,,2.027155637741089,,
0,53,,,2.043217897415161,,
0,54,,,2.0128173828125,,
0,55,,,1.9541677236557007,,
0,56,,,1.9962844848632812,,
0,57,,,1.8800290822982788,,
0,58,,,2.0268681049346924,,
0,59,,,2.018524169921875,,
0,60,,,2.008000612258911,,
0,61,,,1.8551915884017944,,
0,62,,,1.9068437814712524,,
0,63,,,1.8179155588150024,,
0,64,,,1.901685118675232,,
0,65,,,1.8855705261230469,,
0,66,,,1.9406623840332031,,
0,67,,,1.925977110862732,,
0,68,,,1.7739919424057007,,
0,69,,,1.8827857971191406,,
0,70,,,2.0647265911102295,,
0,71,,,2.008103609085083,,
0,72,,,1.8874664306640625,,
0,73,,,1.9771665334701538,,
0,74,,,1.8714942932128906,,
0,75,,,1.8857179880142212,,
0,76,,,1.8782081604003906,,
0,77,,,1.8421859741210938,,
0,78,,,1.8665441274642944,,
0,79,,,1.8644689321517944,,
0,80,,,1.8391971588134766,,
0,81,,,1.8411376476287842,,
0,81,,,,0.23290598392486572,2.02632999420166
0,81,0.21267317235469818,2.0928711891174316,,,
1,82,,,1.8860975503921509,,
1,83,,,1.8498306274414062,,
1,84,,,2.0515594482421875,,
1,85,,,1.6683349609375,,
1,86,,,2.003875732421875,,
1,87,,,1.9235382080078125,,
1,88,,,1.9247220754623413,,
1,89,,,1.8937276601791382,,
1,90,,,1.8465576171875,,
1,91,,,1.6820653676986694,,
1,92,,,2.0232455730438232,,
1,93,,,1.7081502676010132,,
1,94,,,1.736035704612732,,
1,95,,,1.7224617004394531,,
1,96,,,1.877789855003357,,
1,97,,,1.7834726572036743,,
1,98,,,1.7880496978759766,,
1,99,,,1.929200530052185,,
1,100,,,1.5901514291763306,,
1,101,,,1.712445616722107,,
1,102,,,1.7023162841796875,,
1,103,,,1.7193228006362915,,
1,104,,,1.5669759511947632,,
1,105,,,1.8915208578109741,,
1,106,,,1.7034873962402344,,
1,107,,,1.693846344947815,,
1,108,,,1.7508817911148071,,
1,109,,,1.7389920949935913,,
1,110,,,1.7355045080184937,,
1,111,,,1.8600934743881226,,
1,112,,,1.6525249481201172,,
1,113,,,1.7100586891174316,,
1,114,,,1.9398040771484375,,
1,115,,,1.7946923971176147,,
1,116,,,1.8725465536117554,,
1,117,,,1.638946533203125,,
1,118,,,1.8630765676498413,,
1,119,,,1.8770803213119507,,
1,120,,,1.6707954406738281,,
1,121,,,1.7866020202636719,,
1,122,,,1.782915711402893,,
1,123,,,1.6313196420669556,,
1,124,,,1.6150623559951782,,
1,125,,,1.4637527465820312,,
1,126,,,1.7656745910644531,,
1,127,,,1.7449630498886108,,
1,128,,,1.661141037940979,,
1,129,,,1.7448946237564087,,
1,130,,,1.7202428579330444,,
1,131,,,1.7104517221450806,,
1,132,,,1.8154016733169556,,
1,133,,,1.6008771657943726,,
1,134,,,1.6008720397949219,,
1,135,,,1.6628068685531616,,
1,136,,,1.6970138549804688,,
