epoch,step,train_acc,train_loss,val_acc,val_loss
0,4,0.125,2.2479145526885986,,
0,9,0.15625,2.131098508834839,,
0,14,0.1770833283662796,2.07501220703125,,
0,19,0.1875,2.0469157695770264,,
0,24,0.25,1.9910329580307007,,
0,29,0.2604166567325592,1.9978688955307007,,
0,34,0.28125,1.919189453125,,
0,39,0.28125,1.8156814575195312,,
0,44,0.3645833432674408,1.73748779296875,,
0,49,0.375,1.7359784841537476,,
0,54,0.3958333432674408,1.712506651878357,,
0,59,0.2291666716337204,1.9153213500976562,,
0,64,0.375,1.7965322732925415,,
0,69,0.3541666567325592,1.7209447622299194,,
0,74,0.4166666567325592,1.6993497610092163,,
0,79,0.4895833432674408,1.6159801483154297,,
0,81,,,0.3354700803756714,1.8464120626449585
1,84,0.40625,1.721883773803711,,
1,89,0.4375,1.603636384010315,,
1,94,0.4166666567325592,1.53387451171875,,
1,99,0.40625,1.6360969543457031,,
1,104,0.4583333432674408,1.501120924949646,,
1,109,0.3541666567325592,1.7310537099838257,,
1,114,0.5416666865348816,1.3491865396499634,,
1,119,0.46875,1.5119367837905884,,
1,124,0.5208333134651184,1.4213396310806274,,
1,129,0.4791666567325592,1.4189256429672241,,
1,134,0.4479166567325592,1.4622761011123657,,
1,139,0.5208333134651184,1.3689435720443726,,
1,144,0.5208333134651184,1.368947982788086,,
1,149,0.6041666865348816,1.1659380197525024,,
1,154,0.6666666865348816,1.1648200750350952,,
1,159,0.5416666865348816,1.416512131690979,,
1,163,,,0.4732905924320221,1.4632656574249268
2,164,0.5208333134651184,1.2223848104476929,,
2,169,0.5833333134651184,1.214141845703125,,
2,174,0.6145833134651184,1.1805979013442993,,
2,179,0.6145833134651184,1.1128183603286743,,
2,184,0.6666666865348816,1.046399712562561,,
2,189,0.5104166865348816,1.3363170623779297,,
2,194,0.59375,1.187487244606018,,
2,199,0.625,1.080910325050354,,
2,204,0.625,1.0532054901123047,,
2,209,0.6354166865348816,1.0115960836410522,,
2,214,0.6666666865348816,1.1282219886779785,,
2,219,0.6770833134651184,0.9283990859985352,,
2,224,0.5833333134651184,1.3356590270996094,,
2,229,0.6145833134651184,1.0026098489761353,,
2,234,0.5833333134651184,1.2541559934616089,,
2,239,0.59375,1.09196937084198,,
2,244,0.65625,0.9833879470825195,,
2,245,,,0.5737179517745972,1.270317792892456
3,249,0.71875,0.8078473210334778,,
3,254,0.71875,0.9201228022575378,,
3,259,0.71875,0.9133608937263489,,
3,264,0.625,0.9443166851997375,,
3,269,0.6770833134651184,0.7824466824531555,,
3,274,0.6979166865348816,0.986049473285675,,
3,279,0.78125,0.7899236679077148,,
3,284,0.6875,1.0129848718643188,,
3,289,0.6354166865348816,0.9554252624511719,,
3,294,0.6875,0.9902142882347107,,
3,299,0.7395833134651184,0.8243797421455383,,
3,304,0.6875,0.9578515887260437,,
3,309,0.75,0.8150455355644226,,
3,314,0.7083333134651184,0.8157634735107422,,
3,319,0.6666666865348816,0.9973565936088562,,
3,324,0.6875,0.9180454611778259,,
3,327,,,0.5662392973899841,1.3269981145858765
4,329,0.6979166865348816,0.8313309550285339,,
4,334,0.6979166865348816,0.7735157012939453,,
4,339,0.7083333134651184,0.852699339389801,,
4,344,0.75,0.7480962872505188,,
4,349,0.7604166865348816,0.6261622309684753,,
4,354,0.71875,0.9619902968406677,,
4,359,0.7395833134651184,0.8183873295783997,,
4,364,0.78125,0.562391996383667,,
4,369,0.71875,0.8135309219360352,,
4,374,0.6875,0.8409151434898376,,
4,379,0.7604166865348816,0.7916970252990723,,
4,384,0.7916666865348816,0.6687862277030945,,
4,389,0.6770833134651184,0.846391499042511,,
